name,type,value,description,group,Group Description
OUTSIDE_VMIdentityServer,fqdn,kdc.vmwareidentity.ca,kdc.vmwareidentity.ca,,
OUTSIDE_XMReality_52.213.7.142,host,52.213.7.142,Outside ice-eu-1.xmreality.com,OUTSIDE_XMReality-Group,Outside XMReality Group
OUTSIDE_XMReality_34.252.175.31,host,34.252.175.31,Outside ice-eu-2.xmreality.com,OUTSIDE_XMReality-Group,Outside XMReality Group
EQ_Inside_CA11MX10P-2_10.11.17.91,host,Inside exchange 2016 server,Inside exchange 2016 server 1,EQ_Inside_Exchange_2016_Servers-Group,Inside exchange 2016 servers
EQ_Inside_CA11MX11P-2_10.11.17.92,host,Inside exchange 2016 server,Inside exchange 2016 server 2,EQ_Inside_Exchange_2016_Servers-Group,Inside exchange 2016 servers
EQ_Inside_CA11MX12P-2_10.11.17.93,host,Inside exchange 2016 server,Inside exchange 2016 server 3,EQ_Inside_Exchange_2016_Servers-Group,Inside exchange 2016 servers
EQ_Inside_CA11MX13P-2_10.11.17.94,host,Inside exchange 2016 server,Inside exchange 2016 server 4,EQ_Inside_Exchange_2016_Servers-Group,Inside exchange 2016 servers
OUTSIDE_XMR_Conference_63.32.218.224,host,63.32.218.224,Outside XMR_Conference Server,,
OUTSIDE_Mail_Protection_40.92.0.1-40.93.255.254,host,40.92.0.1-40.93.255.254,Outside_Outlook_Mail_protection,OUTSIDE_Outlook_Mail_protection-Group,Outlook Mail Protection Group
OUTSIDE_Mail_Protection_40.107.0.0,host,40.107.0.0/16,Outside_Outlook_Mail_protection,OUTSIDE_Outlook_Mail_protection-Group,Outlook Mail Protection Group
OUTSIDE_Mail_Protection_52.100.0.1-52.103.255.254,host,52.100.0.1-52.103.255.254,Outside_Outlook_Mail_protection,OUTSIDE_Outlook_Mail_protection-Group,Outlook Mail Protection Group
OUTSIDE_Mail_Protection_104.47.0.1-104.47.127.254,host,104.47.0.1-104.47.127.254,Outside_Outlook_Mail_protection,OUTSIDE_Outlook_Mail_protection-Group,Outlook Mail Protection Group
EQ_INSIDE_SFTP_10.11.17.116,host,10.11.17.116,Inside SFTP Server,,
OUTSIDE_CDMSFTP_COM,fqdn,cdmsftp.certent.com,Outside cdmsftp.certent.com,,
